Aircraft,Origin
Dassault Rafale,France
HAL Tejas,India
Multirole,Mk.1A
Mikoyan MiG-29,Soviet Union
Dassault Mirage 2000,France
SEPECAT Jaguar,United Kingdom
IM,8[1]
Embraer R-99,Brazil
Boeing 707,United States
Gulfstream III,United States
Ilyushin Il-78,Soviet Union
Boeing 737,United States
Boeing C-17,United States
C-130J Super Hercules,United States
Antonov An-32,Soviet Union
Hawker Siddeley HS 748,United Kingdom
Boeing AH-64,United States
HAL Prachand,India
CH-47 Chinook,United States
HAL Dhruv,India
Alouette III,France/India
BAE Hawk,United Kingdom
HAL HTT-40,India
Pipistrel Virus,Slovenia
IAI Heron Mk 2,Israel
ALS-50,India
